stock,pair,spread_type,beta_return,alpha_price,beta_price,train_adf_p,train_half_life_minutes,ou_phi,ou_mu,ou_sigma_eq,ou_half_life_minutes,train_spread_std_bps
IBM,XLK-IBM,direct_log_price,0.14131824567181073,-5.8086182666321875,1.932900774468457,0.5839160360143074,5350.627007958999,0.999870463352317,-0.7287306760753764,0.2872278265205495,5350.627007931482,3300.1226976767744
QCOM,XLK-QCOM,price_regression_residual,0.1627429976048066,2.7634948075232786,0.4813826966854131,0.5861720261824843,5346.785738582103,0.9998703702958668,-0.22112115903323265,0.28783172623205466,5346.785738591262,3294.6915082691303
ADI,XLK-ADI,cum_residual_return,0.15741618612685035,20.569828419171643,-2.7383081838850405,0.5880085493021606,2502.8775164333033,0.9997230982320396,-0.06286016094598999,0.024837673113289875,2502.8775164403287,241.1952279355496
APH,XLK-APH,direct_log_price,0.173491536842839,12.106336000953707,-1.3907364281518495,0.5899568717099266,5451.977634962499,0.999872871246627,-0.7366909370631245,0.28916809286980244,5451.977635024398,3323.3577346345132
IBM,XLK-IBM,price_regression_residual,0.14131824567181073,-5.8086182666321875,1.932900774468457,0.5918555611067621,4756.611283990422,0.9998542877191509,-0.22090077325955199,0.3008617171553225,4756.61128400492,3280.0160583517422
PLTR,XLK-PLTR,direct_log_price,0.21118073685783995,7.689939205644624,-0.4745342573093263,0.595071958245675,5488.469247048647,0.9998737164440739,-0.6827131794717113,0.29006599692882734,5488.469246928009,3318.7867026973363
ADI,XLK-ADI,direct_log_price,0.15741618612685035,20.569828419171643,-2.7383081838850405,0.5977971552030971,5691.356351828296,0.9998782179623938,-0.7854732183651472,0.29639654251596204,5691.356351802352,3438.87344087783
KLAC,XLK-KLAC,direct_log_price,0.14045585379464928,19.203102776852464,-1.9516313590647152,0.6013912096044916,5661.266593344243,0.9998775707277675,-0.7610005400061239,0.29556720428553784,5661.266593380182,3401.1329730689954
AMD,XLK-AMD,direct_log_price,0.1773022329256311,-0.5986188339855105,1.0765741895323442,0.6021923872984998,5446.449209096668,0.9998727422126178,-0.7068305220807223,0.2903508547291943,5446.449209072907,3273.008813925617
TXN,XLK-TXN,direct_log_price,0.14152022034935785,21.36972142468858,-3.1166978035567894,0.6026660896300714,5669.063621385807,0.9998777391023315,-0.7735951074462711,0.2954069712796984,5669.063621447586,3394.863762040624
ANET,XLK-ANET,price_regression_residual,0.15129019540537578,4.740033773094021,0.10148833790609157,0.6052951137481012,5553.733158633784,0.9998752003548602,-0.2573405935433307,0.2915730533635229,5553.7331586387245,3302.8741332018326
AMAT,XLK-AMAT,direct_log_price,0.17272873908982198,15.934144821621667,-1.914983934028639,0.610189069164206,5866.765313005392,0.9998818588782422,-0.7971669101640735,0.2997194953433555,5866.765312944743,3462.5531619609264
ANET,XLK-ANET,direct_log_price,0.15129019540537578,4.740033773094021,0.10148833790609157,0.6166419109711498,5661.939299936172,0.9998775852729473,-0.7104517023911564,0.2940734127064197,5661.939299874548,3303.0027217191314
INTC,XLK-INTC,direct_log_price,0.21251351062731796,10.017831039115352,-1.2951271835410039,0.6195853310428153,5833.177079741967,0.9998811786458843,-0.7649596072708147,0.3013613376811726,5833.177079654756,3419.2217933296124
NVDA,XLK-NVDA,direct_log_price,0.33946775412185337,-5.232927373581485,2.004088248363171,0.6218871906093092,5682.504207915225,0.9998780282632159,-0.6973127767100048,0.2940130129894717,5682.504207879017,3280.0595010517823
KLAC,XLK-KLAC,cum_residual_return,0.14045585379464928,19.203102776852464,-1.9516313590647152,0.6251486216955651,1876.46246171085,0.9996306778368802,-0.03278571978231412,0.021245611748154515,1876.4624617097215,194.82331505447135
AMAT,XLK-AMAT,cum_residual_return,0.17272873908982198,15.934144821621667,-1.914983934028639,0.6303181302230108,2144.6306287880407,0.9996768510295783,-0.056159931514083675,0.022292806444684062,2144.6306287895145,216.53250487764123
LRCX,XLK-LRCX,direct_log_price,0.19254569136264268,12.481353016994472,-1.3991483721688684,0.6307352018117789,6143.678464457679,0.9998871835359491,-0.8178132842179163,0.30724047002715216,6143.678464385123,3511.8027552064955
MU,XLK-MU,direct_log_price,0.17475494037686523,11.078671566140265,-1.0377703669994873,0.6378525694980562,6274.730031136307,0.9998895396465207,-0.8449611938029142,0.3114384365737955,6274.730031022781,3554.1239471197096
AVGO,XLK-AVGO,cum_residual_return,0.18151283803926516,-5.548782286602064,1.8382487720976255,0.6408554794166519,1752.016862944534,0.9996044501060279,-0.0280946294799982,0.01956858016368492,1752.016862941583,177.16424457150842
TXN,XLK-TXN,cum_residual_return,0.14152022034935785,21.36972142468858,-3.1166978035567894,0.6429229863418991,2365.4966548032244,0.9997070189743427,-0.050988523097398805,0.02424785777922916,2365.4966548095,218.36863049885298
NVDA,XLK-NVDA,cum_residual_return,0.33946775412185337,-5.232927373581485,2.004088248363171,0.6493571141269858,1529.81529613996,0.9995470105598525,-0.016925093753820283,0.015959256823147246,1529.8152961407102,149.89424937756135
MSFT,XLK-MSFT,cum_residual_return,0.12458377804166683,-26.054336810548687,5.06602325162346,0.6757689236279867,2463.3624997803513,0.9997186570510785,-0.04807506763778882,0.024696372522037185,2463.362499782296,220.5746892556451
AMD,XLK-AMD,price_regression_residual,0.1773022329256311,-0.5986188339855105,1.0765741895323442,0.6774522549758957,5271.094494261349,0.9998685089768372,-0.21712020738569382,0.3172698353582143,5271.094494314758,3201.732519328235
ORCL,XLK-ORCL,cum_residual_return,0.13645728829860154,-6.8459752997311085,2.276107286849712,0.684127731146292,2366.0247902913525,0.9997070843629248,-0.040926589345134594,0.023519674309865114,2366.0247902752085,213.69378507403835
CSCO,XLK-CSCO,cum_residual_return,0.3165553073334239,19.930776997172998,-3.391266071736986,0.709289868750517,2483.544498557878,0.9997209430059812,-0.04481697878362183,0.023660197123804915,2483.544498548984,206.19235444923964
NVDA,XLK-NVDA,price_regression_residual,0.33946775412185337,-5.232927373581485,2.004088248363171,0.7230372992365637,5903.548634149104,0.9998825949385352,-0.2139224481992661,0.3356443533799339,5903.54863429426,3227.504280334742
MU,XLK-MU,cum_residual_return,0.17475494037686523,11.078671566140265,-1.0377703669994873,0.7628966105501287,2184.245141123752,0.999682710883651,-0.013662390036977461,0.021374197393963408,2184.245141120695,187.98511944818136
LRCX,XLK-LRCX,cum_residual_return,0.19254569136264268,12.481353016994472,-1.3991483721688684,0.8082347807633,2872.867095745083,0.9997587554366058,-0.043494092602348954,0.02532035948919762,2872.867095747728,226.70376182613944
APH,XLK-APH,cum_residual_return,0.173491536842839,12.106336000953707,-1.3907364281518495,0.938056136909325,8033.68788272876,0.9999137236485742,-0.09523621363677025,0.043522901830936864,8033.687882842482,286.8291810348925
