pair,stock,beta,entry_z,exit_z,max_holding_minutes,stop_z,sample,execution_model,gross_bps,cost_bps,net_bps,num_trades,turnover,win_rate,avg_holding_minutes,max_drawdown_bps,sharpe_or_tstat
XLK-AVGO,AVGO,0.03951067233953714,2.25,1.25,-1,4.0,test,actual_bidask_fills,312.3541263084473,1630.76134903668,-1318.407222728233,21,42.0,0.42857142857142855,111.9047619047619,-1318.407222728233,-1.4109857965781831
XLK-AVGO,AVGO,0.03951067233953714,2.25,1.25,-1,4.5,validation,actual_bidask_fills,377.57081814690173,273.4539711501238,104.11684699677794,6,12.0,0.5,186.33333333333334,-119.9138279428702,0.5116115865593361
XLK-AVGO,AVGO,0.03951067233953714,2.25,1.25,-1,4.5,test,actual_bidask_fills,752.1199503805765,1153.1554518372022,-401.0355014566258,19,38.0,0.42105263157894735,123.89473684210526,-468.6390613910518,-1.2474839409931275
XLK-AVGO,AVGO,0.03951067233953714,2.25,1.25,-1,5.0,validation,actual_bidask_fills,377.57081814690173,273.4539711501238,104.11684699677794,6,12.0,0.5,186.33333333333334,-119.9138279428702,0.5116115865593361
XLK-AVGO,AVGO,0.03951067233953714,2.25,1.25,-1,5.0,test,actual_bidask_fills,752.1199503805765,1153.1554518372022,-401.0355014566258,19,38.0,0.42105263157894735,123.89473684210526,-468.6390613910518,-1.2474839409931275
XLK-CRM,CRM,0.010665698752082134,2.5,1.25,-1,-1.0,validation,actual_bidask_fills,287.24642090289797,53.61742000676627,233.62900089613169,4,8.0,0.75,211.25,-98.27284783862744,1.0100414147996775
XLK-CRM,CRM,0.010665698752082134,2.5,1.25,-1,-1.0,test,actual_bidask_fills,320.3896158184083,633.1406687847707,-312.7510529663624,14,28.0,0.35714285714285715,129.57142857142858,-430.75290955586706,-1.0302901824201647
XLK-CRM,CRM,0.010665698752082134,2.5,1.25,-1,3.5,validation,actual_bidask_fills,263.69335019121644,54.87471679847643,208.81863339273997,5,10.0,0.6,168.8,-123.08321534201916,0.8757312707337234
XLK-CRM,CRM,0.010665698752082134,2.5,1.25,-1,3.5,test,actual_bidask_fills,-156.30223146589017,1098.8615580110218,-1255.163789476912,19,38.0,0.3157894736842105,90.94736842105263,-1255.163789476912,-1.3789291711129648
XLK-CRM,CRM,0.010665698752082134,2.5,1.25,-1,4.0,validation,actual_bidask_fills,287.24642090289797,53.61742000676627,233.62900089613169,4,8.0,0.75,211.25,-98.27284783862744,1.0100414147996775
XLK-CRM,CRM,0.010665698752082134,2.5,1.25,-1,4.0,test,actual_bidask_fills,12.318703786124985,959.3192098429881,-947.0005060568632,15,30.0,0.3333333333333333,120.86666666666666,-1065.0023626463678,-1.0992772049417852
XLK-CRM,CRM,0.010665698752082134,2.5,1.25,-1,4.5,validation,actual_bidask_fills,287.24642090289797,53.61742000676627,233.62900089613169,4,8.0,0.75,211.25,-98.27284783862744,1.0100414147996775
XLK-CRM,CRM,0.010665698752082134,2.5,1.25,-1,4.5,test,actual_bidask_fills,320.3896158184083,633.1406687847707,-312.7510529663624,14,28.0,0.35714285714285715,129.57142857142858,-430.75290955586706,-1.0302901824201647
XLK-CRM,CRM,0.010665698752082134,2.5,1.25,-1,5.0,validation,actual_bidask_fills,287.24642090289797,53.61742000676627,233.62900089613169,4,8.0,0.75,211.25,-98.27284783862744,1.0100414147996775
XLK-CRM,CRM,0.010665698752082134,2.5,1.25,-1,5.0,test,actual_bidask_fills,320.3896158184083,633.1406687847707,-312.7510529663624,14,28.0,0.35714285714285715,129.57142857142858,-430.75290955586706,-1.0302901824201647
XLK-CSCO,CSCO,0.06311069129999163,2.0,1.25,120,-1.0,validation,actual_bidask_fills,450.51840348458325,235.27293361356172,215.24546987102153,15,30.0,0.6,82.53333333333333,-291.05879808487776,0.6283397917056298
XLK-CSCO,CSCO,0.06311069129999163,2.0,1.25,120,-1.0,test,actual_bidask_fills,844.9509115283771,1485.584797317694,-640.6338857893168,38,76.0,0.3684210526315789,80.34210526315789,-800.6301233899915,-2.174788861941663
XLK-CSCO,CSCO,0.06311069129999163,2.0,1.25,120,3.5,validation,actual_bidask_fills,450.7273104288867,257.77351586921077,192.95379455967594,16,32.0,0.5625,78.1875,-313.3504733962234,0.5695401168332728
XLK-CSCO,CSCO,0.06311069129999163,2.0,1.25,120,3.5,test,actual_bidask_fills,363.3569107767354,1985.6413110672654,-1622.2844002905301,42,84.0,0.3333333333333333,73.78571428571429,-1792.1553604977448,-1.8885231952150006
XLK-CSCO,CSCO,0.06311069129999163,2.0,1.25,120,4.0,validation,actual_bidask_fills,450.51840348458325,235.27293361356172,215.24546987102153,15,30.0,0.6,82.53333333333333,-291.05879808487776,0.6283397917056298
XLK-CSCO,CSCO,0.06311069129999163,2.0,1.25,120,4.0,test,actual_bidask_fills,542.1193095424214,1809.5454316360194,-1267.4261220935978,38,76.0,0.3684210526315789,80.34210526315789,-1437.2970823008125,-1.5890963329084904
XLK-CSCO,CSCO,0.06311069129999163,2.0,1.25,120,4.5,validation,actual_bidask_fills,450.51840348458325,235.27293361356172,215.24546987102153,15,30.0,0.6,82.53333333333333,-291.05879808487776,0.6283397917056298
XLK-CSCO,CSCO,0.06311069129999163,2.0,1.25,120,4.5,test,actual_bidask_fills,844.9509115283771,1485.584797317694,-640.6338857893168,38,76.0,0.3684210526315789,80.34210526315789,-800.6301233899915,-2.174788861941663
XLK-CSCO,CSCO,0.06311069129999163,2.0,1.25,120,5.0,validation,actual_bidask_fills,450.51840348458325,235.27293361356172,215.24546987102153,15,30.0,0.6,82.53333333333333,-291.05879808487776,0.6283397917056298
XLK-CSCO,CSCO,0.06311069129999163,2.0,1.25,120,5.0,test,actual_bidask_fills,844.9509115283771,1485.584797317694,-640.6338857893168,38,76.0,0.3684210526315789,80.34210526315789,-800.6301233899915,-2.174788861941663
XLK-MSFT,MSFT,0.027740336084809893,2.5,1.25,240,-1.0,validation,actual_bidask_fills,291.22032820381173,56.54591215949797,234.67441604431372,5,10.0,0.8,169.2,-178.5394523740269,0.8203267005593866
XLK-MSFT,MSFT,0.027740336084809893,2.5,1.25,240,-1.0,test,actual_bidask_fills,415.2331365508033,648.1922527847139,-232.95911623391063,17,34.0,0.4117647058823529,105.88235294117646,-418.6742348936434,-0.828902310057261
XLK-MSFT,MSFT,0.027740336084809893,2.5,1.25,240,3.5,validation,actual_bidask_fills,272.66729829667827,69.5193123754123,203.14798592126593,7,14.0,0.5714285714285714,117.71428571428571,-216.67083471812452,0.7749758834170526
XLK-MSFT,MSFT,0.027740336084809893,2.5,1.25,240,3.5,test,actual_bidask_fills,-65.73542315285506,1101.4770740681445,-1167.2124972209997,19,38.0,0.3684210526315789,90.36842105263158,-1167.2124972209997,-1.292183684554549
XLK-MSFT,MSFT,0.027740336084809893,2.5,1.25,240,4.0,validation,actual_bidask_fills,291.22032820381173,56.54591215949797,234.67441604431372,5,10.0,0.8,169.2,-178.5394523740269,0.8203267005593866
XLK-MSFT,MSFT,0.027740336084809893,2.5,1.25,240,4.0,test,actual_bidask_fills,103.17292805764211,972.1103386390339,-868.9374105813919,17,34.0,0.4117647058823529,105.88235294117646,-1054.6525292411247,-1.0157809331272838
XLK-MSFT,MSFT,0.027740336084809893,2.5,1.25,240,4.5,validation,actual_bidask_fills,291.22032820381173,56.54591215949797,234.67441604431372,5,10.0,0.8,169.2,-178.5394523740269,0.8203267005593866
XLK-MSFT,MSFT,0.027740336084809893,2.5,1.25,240,4.5,test,actual_bidask_fills,415.2331365508033,648.1922527847139,-232.95911623391063,17,34.0,0.4117647058823529,105.88235294117646,-418.6742348936434,-0.828902310057261
XLK-MSFT,MSFT,0.027740336084809893,2.5,1.25,240,5.0,validation,actual_bidask_fills,291.22032820381173,56.54591215949797,234.67441604431372,5,10.0,0.8,169.2,-178.5394523740269,0.8203267005593866
XLK-MSFT,MSFT,0.027740336084809893,2.5,1.25,240,5.0,test,actual_bidask_fills,415.2331365508033,648.1922527847139,-232.95911623391063,17,34.0,0.4117647058823529,105.88235294117646,-418.6742348936434,-0.828902310057261
XLK-NVDA,NVDA,0.1325445975680742,2.0,1.0,240,-1.0,validation,actual_bidask_fills,751.7841593617991,413.9049842848408,337.8791750769583,13,26.0,0.6923076923076923,133.0,-171.29381328929048,1.2015618756187283
XLK-NVDA,NVDA,0.1325445975680742,2.0,1.0,240,-1.0,test,actual_bidask_fills,1303.7339407372174,1787.4666861722055,-483.73274543498826,32,62.0,0.375,97.03125,-542.0941899345611,-1.3548714917572207
XLK-NVDA,NVDA,0.1325445975680742,2.0,1.0,240,3.5,validation,actual_bidask_fills,751.7841593617991,413.9049842848408,337.8791750769583,13,26.0,0.6923076923076923,133.0,-171.29381328929048,1.2015618756187283
XLK-NVDA,NVDA,0.1325445975680742,2.0,1.0,240,3.5,test,actual_bidask_fills,731.8992021360326,2401.627790618299,-1669.7285884822666,39,76.0,0.38461538461538464,79.43589743589743,-1728.0900329818394,-1.665558726151299
XLK-NVDA,NVDA,0.1325445975680742,2.0,1.0,240,4.0,validation,actual_bidask_fills,751.7841593617991,413.9049842848408,337.8791750769583,13,26.0,0.6923076923076923,133.0,-171.29381328929048,1.2015618756187283
