signal_view,center_days,entry_bps,rules,valid_rules,median_train_net_bps,p25_train_net_bps,median_validation_net_bps,median_test_net_bps,positive_test_rate,train_island_score
micro_shrink_0.50,10,100.0,9,0,-2929.496935082243,-3658.683751096578,281.8322707053829,-576.68234752006,0.0,-4758.838810630532
micro_shrink_0.50,10,50.0,9,0,-3011.9760379903405,-3515.7573457187614,-77.81512663175526,-997.6234371632597,0.0,-4769.854710849721
micro_shrink_0.75,10,100.0,9,0,-2936.6661052060063,-3667.0717500197693,283.27350440205623,-578.5804209736076,0.0,-4770.201980215891
micro,10,100.0,9,0,-2996.32746257224,-3673.899269802531,331.67910304536633,-593.7779922268325,0.0,-4833.277097473506
micro_shrink_0.25,10,100.0,9,0,-3011.8869144377986,-3660.5274001567063,260.3968166545448,-597.6009388566554,0.0,-4842.150614516152
mid,10,100.0,9,0,-3000.32973240949,-3711.168190782718,267.3898238937814,-758.823697524593,0.0,-4855.913827800849
micro,10,50.0,9,0,-3134.936379712377,-3600.381149364193,-154.32387227044435,-1055.3181433310365,0.0,-4935.126954394474
micro,10,40.0,9,0,-3281.203917649965,-3816.4388930962373,73.37303827258346,-1124.7024191069938,0.0,-5189.423364198084
micro_shrink_0.75,10,40.0,9,0,-3276.5424201651244,-3875.0371315474467,92.71001186138754,-1126.6392417802574,0.0,-5214.060985938848
mid,10,40.0,9,0,-3249.151981299425,-3936.3800378219394,79.65512889359928,-1129.696979228979,0.0,-5217.342000210395
micro_shrink_0.25,10,40.0,9,0,-3228.4930581510557,-3979.1012391563545,107.19696219568819,-1131.5533061116334,0.0,-5218.0436777292325
micro_shrink_0.50,10,40.0,9,0,-3290.456554656545,-3940.914298977006,99.4358963629273,-1117.7575857713719,0.0,-5260.9137041450485
mid,10,30.0,9,0,-3478.8588954941742,-3989.090639905148,29.579114148279572,-1099.0591853770854,0.0,-5473.404215446748
micro_shrink_0.25,10,30.0,9,0,-3452.004266528671,-4070.0871438701497,30.430859218992108,-1085.2217421856835,0.0,-5487.047838463746
micro_shrink_0.50,10,30.0,9,0,-3530.4099688089395,-4043.1451250212526,50.82962389674303,-1076.0225642221105,0.0,-5551.982531319566
micro,10,30.0,9,0,-3615.99988139617,-4059.559801776407,49.19998800331508,-1123.4431714266784,0.0,-5645.779782284373
micro_shrink_0.75,10,30.0,9,0,-3616.5825950548224,-4211.732505750676,34.43549070487481,-1090.711424058718,0.0,-5722.44884793016
