hedge,signal_price,signal_kind,hedge_frac,mode,threshold_bps,exit_bps,max_hold,jan_net_bps,jan_gross_bps,jan_cost_bps,jan_trades,jan_avgpos,feb_net_bps,feb_gross_bps,feb_cost_bps,feb_trades,feb_avgpos,train_net_bps,train_gross_bps,train_cost_bps,train_trades,train_avgpos,test_net_bps,test_gross_bps,test_cost_bps,test_trades,test_avgpos
official8,micro,raw,0.5,threshold,150,25,390,-202.6565347460994,38.419856967205014,241.07639171330436,38,0.9473412493546721,-193.90660522655824,53.426336296524035,247.33294152308235,36,0.9448078495502862,-396.56313997265784,91.84619326372903,488.4093332363868,74,0.9461089752088029,83.83763383563975,247.44729343331494,163.6096595976752,27,0.6215482652820392
official8,micro,raw,0.5,threshold,200,0,60,-931.8171750047306,103.20560628292868,1035.0227812876592,264,0.924496644295302,-1018.5248090764644,-44.55812375950776,973.9666853169568,240,0.8868901608067593,-1950.3419840811953,58.64748252342077,2008.989466604616,504,0.9062044279464404,-559.6782805376124,-21.53122167493117,538.1470588626813,129,0.4149162143025726
official8,micro,raw,0.5,threshold,200,0,390,-167.89093429767783,70.35627732369885,238.24721162137664,38,0.9395973154362416,-193.90660522655824,53.426336296524035,247.33294152308235,36,0.9448078495502862,-361.7975395242363,123.7826136202229,485.58015314445896,74,0.9421317778072384,-152.52193904707417,-34.657607245032615,117.86433180204155,19,0.45279679018173236
official8,micro,raw,0.5,threshold,200,25,60,-931.8171750047306,103.20560628292868,1035.0227812876592,264,0.924496644295302,-1018.5248090764644,-44.55812375950776,973.9666853169568,240,0.8868901608067593,-1950.3419840811953,58.64748252342077,2008.989466604616,504,0.9062044279464404,-559.6782805376124,-21.53122167493117,538.1470588626813,129,0.4149162143025726
official8,micro,raw,0.5,threshold,200,25,390,-167.89093429767783,70.35627732369885,238.24721162137664,38,0.9395973154362416,-193.90660522655824,53.426336296524035,247.33294152308235,36,0.9448078495502862,-361.7975395242363,123.7826136202229,485.58015314445896,74,0.9421317778072384,-152.52193904707417,-34.657607245032615,117.86433180204155,19,0.45279679018173236
official8,micro,raw,1.0,threshold,50,0,60,-1750.228097148953,-81.6607014259368,1668.5673957230163,266,0.9330149716055757,-1899.7164270608623,-116.8844423207813,1782.8319847400808,266,0.9818751703461434,-3649.944524209815,-198.54514374671794,3451.3993804630973,532,0.9567811215696672,-1771.494846677651,27.49936355783201,1798.994210235483,261,0.8324286051451498
official8,micro,raw,1.0,threshold,50,0,390,-473.6153079936378,-97.13110131172907,376.4842066819088,38,0.9477284460505937,-505.38605262579904,-99.34954105410074,406.0365115716984,38,0.9974107386208776,-979.0013606194367,-196.48064236582968,782.520718253607,76,0.9718944716956118,-326.54847747033915,27.693061542319345,354.24153901265845,37,0.8461175359924474
official8,micro,raw,1.0,threshold,50,25,60,-1750.228097148953,-81.6607014259368,1668.5673957230163,266,0.9330149716055757,-1899.7164270608623,-116.8844423207813,1782.8319847400808,266,0.9818751703461434,-3649.944524209815,-198.54514374671794,3451.3993804630973,532,0.9567811215696672,-1771.494846677651,27.49936355783201,1798.994210235483,261,0.8324286051451498
official8,micro,raw,1.0,threshold,50,25,390,-473.6153079936378,-97.13110131172907,376.4842066819088,38,0.9477284460505937,-505.38605262579904,-99.34954105410074,406.0365115716984,38,0.9974107386208776,-979.0013606194367,-196.48064236582968,782.520718253607,76,0.9718944716956118,-326.54847747033915,27.693061542319345,354.24153901265845,37,0.8461175359924474
official8,micro,raw,1.0,threshold,100,0,60,-1750.228097148953,-81.6607014259368,1668.5673957230163,266,0.9330149716055757,-1890.6577279309838,-108.02631744665626,1782.6314104843275,266,0.9806486781139275,-3640.885825079937,-189.6870188725929,3451.198806207344,532,0.9561845419594326,-1362.597141055593,112.16072349998309,1474.7578645555764,217,0.7035638423412792
official8,micro,raw,1.0,threshold,100,0,390,-473.6153079936378,-97.13110131172907,376.4842066819088,38,0.9477284460505937,-496.15294885456905,-92.19929814836823,403.9536507062008,38,0.9972744617061869,-969.7682568482068,-189.33039946009717,780.4378573881096,76,0.9718281850722524,-183.0760694008686,113.42753482762858,296.5036042284972,31,0.7255133349067736
official8,micro,raw,1.0,threshold,100,25,60,-1750.228097148953,-81.6607014259368,1668.5673957230163,266,0.9330149716055757,-1890.6577279309838,-108.02631744665626,1782.6314104843275,266,0.9806486781139275,-3640.885825079937,-189.6870188725929,3451.198806207344,532,0.9561845419594326,-1362.597141055593,112.16072349998309,1474.7578645555764,217,0.7035638423412792
official8,micro,raw,1.0,threshold,100,25,390,-473.6153079936378,-97.13110131172907,376.4842066819088,38,0.9477284460505937,-496.15294885456905,-92.19929814836823,403.9536507062008,38,0.9972744617061869,-969.7682568482068,-189.33039946009717,780.4378573881096,76,0.9718281850722524,-183.0760694008686,113.42753482762858,296.5036042284972,31,0.7255133349067736
official8,micro,raw,1.0,threshold,150,0,60,-1759.25436938806,-91.99433577582431,1667.2600336122357,266,0.9326277749096541,-1748.9398738497696,-114.86170377797346,1634.078170071796,250,0.9235486508585445,-3508.19424323783,-206.85603955379761,3301.338203684032,516,0.9282115869017632,-880.6354661269884,209.33799295285033,1089.9734590798387,151,0.4892612697663441
official8,micro,raw,1.0,threshold,150,0,390,-462.1992671973786,-91.39530806191596,370.80395913546266,38,0.9473412493546721,-446.18931156230445,-76.69639544786972,369.49291611443476,36,0.9448078495502862,-908.3885787596829,-168.0917035097855,740.2968752498973,74,0.9461089752088029,-88.82761700137077,157.9291980895702,246.756815090941,27,0.6215482652820392
official8,micro,raw,1.0,threshold,150,25,60,-1759.25436938806,-91.99433577582431,1667.2600336122357,266,0.9326277749096541,-1748.9398738497696,-114.86170377797346,1634.078170071796,250,0.9235486508585445,-3508.19424323783,-206.85603955379761,3301.338203684032,516,0.9282115869017632,-880.6354661269884,209.33799295285033,1089.9734590798387,151,0.4892612697663441
