trial_id,strategy_family,universe,pair_or_basket,method,signal,hedge_method,execution_mode,passive_fill_prob,adverse_selection_bps,entry_z,exit_z,max_hold,z_stop,beta,adf_p,ou_half_life_minutes,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_cost_share,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_cost_share,test_2x_cost_net_bps,test_latency1_net_bps,sharpe,dsr_pvalue,selected_flag,gate_selected_flag,skip_reason,gate_reason
502,pair_trading,XLK_top20_cleaned,XLK-ANET,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,,0.12375269120668982,0.015941952505673547,205.41576085320528,26.68193530916811,64.77268989169939,-38.09075458253134,32.0,2.427585898142966,-63.89317872242361,137.25926516753717,-201.15244388996058,104.0,2.1482616440769657,-338.41170905749783,-426.02374118864475,-1.1564597924892464,1.0,False,False,,validation_net<=0
382,pair_trading,XLK_top20_cleaned,XLK-ANET,sscore_ou_gate,sscore,ols,aggressive_cross,0.0,0.0,2.0,0.5,120.0,,0.12375269120668982,0.015941952505673547,205.41576085320528,54.516708582456296,115.67830345951813,-61.1615948770618,40.0,2.1218871510659008,-77.94418968893375,264.23211644272146,-342.1763061316552,66.0,3.390016850482907,-606.4084225743766,-330.4218022038338,-2.2542800989442076,1.0,False,False,,validation_net<=0
117,pair_trading,XLK_top20_cleaned,XLK-APH,baseline,zscore,ols,aggressive_cross,0.0,0.0,1.5,0.5,120.0,,0.16594094121884617,0.8365306258662117,228.08139773052142,219.92099014393625,246.54951828326588,-26.62852813932956,58.0,1.1210822492291506,-707.5036752235408,825.8389761521959,-1533.3426513757365,191.0,1.1672575070246332,-2359.1816275279325,-1576.2261087175052,-6.329840379172581,1.0,False,False,,validation_net<=0
272,pair_trading,XLK_top20_cleaned,XLK-APH,kalman_lagged,zscore,kalman_lagged,aggressive_cross,0.0,0.0,1.5,0.5,120.0,,0.15406667837735122,0.8365306258662117,209.42845701361068,-62.35623555597501,189.22602871474035,-251.5822642707152,52.0,3.0345967332309334,-603.7051466908388,774.587337932164,-1378.2924846230028,195.0,1.2830557138331555,-2152.8798225551673,-1493.7597623865272,-5.714459241109312,1.0,False,False,,validation_net<=0
512,pair_trading,XLK_top20_cleaned,XLK-APH,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,,0.16594094121884617,0.8365306258662117,228.08139773052142,283.9648618873968,94.09512982027786,189.86973206711883,54.0,0.3313618776452358,-625.4827741710837,380.60600848996756,-1006.0887826610513,181.0,0.608499584971565,-1386.6947911510188,-1396.2057673409718,-4.242890723817876,1.0,False,False,,2x_cost_net<0
392,pair_trading,XLK_top20_cleaned,XLK-APH,sscore_ou_gate,sscore,ols,aggressive_cross,0.0,0.0,1.5,0.5,120.0,,0.16594094121884617,0.8365306258662117,228.08139773052142,239.56905405429842,288.96718549113746,-49.39813143683892,56.0,1.2061957944937367,-363.4981677525746,536.7589092173208,-900.2570769698954,148.0,1.4766481837748384,-1437.0159861872162,-957.1219371476892,-4.165497157288414,1.0,False,False,,validation_net<=0
23,pair_trading,XLK_top20_cleaned,XLK-AVGO,baseline,zscore,ols,aggressive_cross,0.0,0.0,2.0,0.5,120.0,,0.1460693017072228,0.0768712027156273,199.77179405295615,-97.5604582771365,116.98109629546755,-214.54155457260399,40.0,1.1990625952490253,-8.078529212347929,279.95367983615733,-288.03220904850514,115.0,34.654040664760075,-567.9858888846625,-416.4583351449617,-1.5683661041942498,1.0,False,False,,validation_net<=0
128,pair_trading,XLK_top20_cleaned,XLK-AVGO,coint_filter,zscore,ols,aggressive_cross,0.0,0.0,2.0,0.5,120.0,,0.1460693017072228,0.0768712027156273,199.77179405295615,-97.5604582771365,116.98109629546755,-214.54155457260399,40.0,1.1990625952490253,-8.078529212347929,279.95367983615733,-288.03220904850514,115.0,34.654040664760075,-567.9858888846625,-416.4583351449617,-1.5683661041942498,1.0,False,False,,validation_net<=0
523,pair_trading,XLK_top20_cleaned,XLK-AVGO,combined,sscore,kalman_lagged,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,,0.1201542430341937,0.0768712027156273,183.7871439288373,-125.1210792519954,78.48654701619651,-203.60762626819198,32.0,0.6272847667667862,-489.410074442449,162.53597501247145,-651.9460494549205,68.0,0.33210590361801895,-814.482024467392,-686.9705831602521,-4.384698072522214,1.0,False,False,,validation_net<=0
178,pair_trading,XLK_top20_cleaned,XLK-AVGO,kalman_lagged,zscore,kalman_lagged,aggressive_cross,0.0,0.0,2.0,0.5,120.0,,0.1201542430341937,0.0768712027156273,183.7871439288373,-145.44482773749576,105.3508842754285,-250.7957120129243,32.0,0.7243357217595231,33.746183337761835,462.6366337060862,-428.8904503683244,128.0,13.709302443941795,-891.5270840744105,-516.3063512670116,-2.229844012762896,1.0,False,False,,validation_net<=0
