trial_id,pair_or_basket,method,sample,exit_reason,trades,gross_bps,cost_bps,net_bps
102,XLK-ANET,baseline,validation,stop_loss,3,-17.555736178811106,23.540569902504284,-41.09630608131538
102,XLK-ANET,baseline,test,eod,32,-31.440712996733,92.86919087120097,-124.30990386793397
102,XLK-ANET,baseline,test,max_hold,79,35.42698911171911,244.507216864536,-209.0802277528169
102,XLK-ANET,baseline,test,reversion,37,454.8897122949785,169.86029144600928,285.02942084896915
102,XLK-ANET,baseline,test,stop_loss,2,-22.799875402369427,6.043029666330221,-28.842905068699647
103,XLK-ANET,baseline,train,eod,41,60.47002927998436,117.51324707371919,-57.043217793734854
103,XLK-ANET,baseline,train,max_hold,103,-67.86182846099142,372.69728944087944,-440.559117901871
103,XLK-ANET,baseline,train,reversion,32,322.24088158449416,133.38425670732806,188.85662487716607
103,XLK-ANET,baseline,validation,eod,11,8.817181227511794,31.018689821465365,-22.20150859395357
103,XLK-ANET,baseline,validation,max_hold,31,10.859605754915775,76.7255974262513,-65.86599167133554
103,XLK-ANET,baseline,validation,reversion,3,18.526773787346027,7.025685463642335,11.501088323703687
103,XLK-ANET,baseline,test,eod,32,-31.440712996733,92.86919087120097,-124.30990386793397
103,XLK-ANET,baseline,test,max_hold,80,13.000691070958231,245.24830929368267,-232.24761822272447
103,XLK-ANET,baseline,test,reversion,37,454.8897122949785,169.86029144600928,285.02942084896915
104,XLK-ANET,baseline,train,eod,22,34.6399024164659,50.228044249388105,-15.588141832922197
104,XLK-ANET,baseline,train,max_hold,76,-27.943613294047637,220.36882752070585,-248.31244081475347
104,XLK-ANET,baseline,train,reversion,13,183.3875889062585,46.17370349240868,137.21388541384982
104,XLK-ANET,baseline,train,stop_loss,51,-150.46790945358075,279.33313681150076,-429.80104626508165
104,XLK-ANET,baseline,validation,eod,6,0.521695646927468,26.42039591830994,-25.898700271382467
104,XLK-ANET,baseline,validation,max_hold,24,-50.37240377230073,73.10851671018789,-123.48092048248861
104,XLK-ANET,baseline,validation,reversion,2,17.676354466712286,4.47206280490197,13.204291661810315
104,XLK-ANET,baseline,validation,stop_loss,3,-17.555736178811106,23.540569902504284,-41.09630608131538
104,XLK-ANET,baseline,test,eod,21,-10.645992879976632,81.19999989452758,-91.84599277450424
104,XLK-ANET,baseline,test,max_hold,64,28.776299948010138,209.1017921845075,-180.32549223649738
104,XLK-ANET,baseline,test,reversion,6,73.1920237993683,15.650464312622917,57.541559486745385
