pair,stock,beta,entry_z,exit_z,max_holding_minutes,stop_z,execution_model,sample,gross_bps,cost_bps,net_bps,num_trades,turnover,win_rate,avg_holding_minutes,max_drawdown_bps,sharpe_or_tstat
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.5,60,-1.0,actual_bidask_fills,train,490.3839396177201,992.5356139063446,-502.1516742886245,80,160.0,0.4375,54.725,-594.3740612993142,-1.3519229571945424
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.5,60,-1.0,actual_bidask_fills,validation,739.86375921554,1058.3365866021666,-318.47282738662665,69,136.0,0.4057971014492754,51.028985507246375,-546.3421918948529,-0.6967205403184014
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.5,60,-1.0,actual_bidask_fills,test,2219.8383736258265,2753.8575387212472,-534.0191650954207,118,236.0,0.4322033898305085,47.6271186440678,-768.0571148123149,-1.1056791084772495
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.5,120,-1.0,actual_bidask_fills,train,543.5067227554314,817.0280114281159,-273.52128867268453,49,98.0,0.4489795918367347,94.65306122448979,-411.84352016891523,-0.8573928045773268
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.5,120,-1.0,actual_bidask_fills,validation,731.2186439766944,931.8402830242168,-200.6216390475224,43,86.0,0.4883720930232558,84.53488372093024,-512.9218254695988,-0.45213445998097845
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.5,120,-1.0,actual_bidask_fills,test,1774.2791925952251,2295.2103565307348,-520.9311639355096,79,158.0,0.46835443037974683,74.32911392405063,-769.7385325003925,-1.0568349675446846
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.5,240,-1.0,actual_bidask_fills,train,414.943960052998,769.7483686701379,-354.8044086171398,31,62.0,0.4838709677419355,160.32258064516128,-440.6123975473086,-1.0841932254668396
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.5,240,-1.0,actual_bidask_fills,validation,672.9077353629265,886.0052208391611,-213.09748547623462,28,56.0,0.5,135.21428571428572,-521.5750625422988,-0.42736533515935327
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.5,240,-1.0,actual_bidask_fills,test,1769.8769876528343,2177.890856087883,-408.0138684350487,55,110.0,0.4727272727272727,108.05454545454545,-601.9147613346477,-0.7808724648582709
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.75,-1,-1.0,actual_bidask_fills,train,620.2332458427761,761.4756251310429,-141.24237928826665,25,50.0,0.56,179.16,-306.56557376221195,-0.4962097440057168
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.75,-1,-1.0,actual_bidask_fills,validation,537.8346331864315,882.4656071379167,-344.6309739514852,20,40.0,0.45,180.0,-521.7145131868683,-0.8564805462510637
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.75,-1,-1.0,actual_bidask_fills,test,2039.5264223642685,2502.2291014521957,-462.7026790879274,55,110.0,0.5454545454545454,104.89090909090909,-662.2774569696155,-0.9251197698211828
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.75,30,-1.0,actual_bidask_fills,train,550.7508229107127,1158.644212586486,-607.8933896757733,140,280.0,0.42142857142857143,28.192857142857143,-683.553308495366,-2.0004868928786537
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.75,30,-1.0,actual_bidask_fills,validation,653.3441576480392,1363.909681193176,-710.5655235451369,117,234.0,0.42735042735042733,27.666666666666668,-795.1250380159358,-1.526097409325131
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.75,30,-1.0,actual_bidask_fills,test,2119.0113863233505,3186.9141497606356,-1067.902763437285,199,398.0,0.4271356783919598,25.934673366834172,-1247.9556926219893,-2.1675803524299373
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.75,60,-1.0,actual_bidask_fills,train,585.6572830464124,1075.7162601830128,-490.0589771366004,81,162.0,0.4074074074074074,52.382716049382715,-599.6538093452219,-1.4121744894913073
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.75,60,-1.0,actual_bidask_fills,validation,727.2000920511523,1073.6886270800117,-346.48853502885936,69,136.0,0.4057971014492754,48.2463768115942,-519.7243580721267,-0.7537318675475557
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.75,60,-1.0,actual_bidask_fills,test,2324.086261807228,2989.0994346092903,-665.0131728020625,123,246.0,0.43089430894308944,43.8780487804878,-880.7980585884056,-1.4011508332473153
