pair,stock,spread_type,entry_z,exit_z,execution_scenario,month,gross_bps,cost_bps,net_bps,trades
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,clipped_last_trade_proxy,2025-11,-223.88343279407863,0.0,-223.88343279407863,36
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,clipped_last_trade_proxy,2025-12,-716.2079376516406,0.0,-716.2079376516406,42
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,clipped_last_trade_proxy,2026-01,-164.693571149801,0.0,-164.693571149801,40
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,clipped_last_trade_proxy,2026-02,513.5146322421047,0.0,513.5146322421047,40
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,clipped_last_trade_proxy,2026-03,941.3490573741434,0.0,941.3490573741434,62
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,clipped_last_trade_proxy,2026-04,-696.7556519327455,0.0,-696.7556519327455,40
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency0,2025-05,139.325930979682,97.78187666148321,41.54405431819882,20
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency0,2025-06,348.56298236458514,71.49853737354665,277.0644449910385,20
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency0,2025-07,64.54660134677776,92.18698724277274,-27.640385895994942,26
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency0,2025-08,153.24621532802132,53.96548492213545,99.28073040588589,20
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency0,2025-09,320.33409107144945,76.1976960156626,244.13639505578683,22
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency0,2025-10,-319.3125096888799,62.10523352585989,-381.41774321473974,16
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency0,2025-11,35.47875909161278,80.01632433484441,-44.53756524323159,18
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency0,2025-12,-31.245558039959533,75.52080676209195,-106.76636480205146,22
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency0,2026-01,-269.9711457621499,49.61190959545501,-319.5830553576049,18
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency0,2026-02,53.2932834661355,74.44973443381318,-21.15645096767771,22
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency0,2026-03,459.0945509398245,96.22558867730568,362.8689622625188,36
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency0,2026-04,-258.99765372586614,77.74720969858383,-336.74486342444993,20
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency1,2025-05,69.73824320469976,94.27337726698399,-24.535134062284232,20
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency1,2025-06,290.7024002423521,75.5883919039722,215.11400833837985,20
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency1,2025-07,63.70763575295176,64.29876199143148,-0.5911262384797333,25
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency1,2025-08,145.65910531203397,48.539747716296844,97.11935759573713,20
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency1,2025-09,341.427006682868,49.307067902844956,292.11993878002295,23
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency1,2025-10,-305.86432231172216,33.144766386470046,-339.00908869819216,15
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency1,2025-11,14.345740692665778,59.690818569879966,-45.34507787721416,19
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency1,2025-12,-64.2241744228877,87.77011440869306,-151.99428883158075,22
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency1,2026-01,-283.33169466150815,47.83731290535135,-331.16900756685953,17
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency1,2026-02,-7.817063400412608,80.19560852030736,-88.01267192071994,23
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency1,2026-03,466.73863134915194,119.87181952409927,346.86681182505265,36
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency1,2026-04,-319.6234288866745,25.772607167121077,-345.39603605379557,20
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency2,2025-05,71.04965734875677,69.28093969439617,1.7687176543606382,19
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency2,2025-06,306.2667956876951,96.49468936805995,209.77210631963504,21
