trial_id,strategy_family,universe,pair_or_basket,method,signal,hedge_method,execution_mode,passive_fill_prob,adverse_selection_bps,entry_z,exit_z,max_hold,z_stop,beta,adf_p,ou_half_life_minutes,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_cost_share,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_cost_share,test_2x_cost_net_bps,test_latency1_net_bps,sharpe,dsr_pvalue,selected_flag,gate_selected_flag,skip_reason
459,pair_trading,XLK_top20_cleaned,XLK-AMAT,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,4.0,0.14214655234172935,0.7005304277500676,198.62914056620676,199.34975876561603,99.93676167557808,99.41299709003796,38.0,0.5013136825165561,95.03073459087726,240.00636509761236,-144.97563050673506,113.0,2.5255657144068047,-384.9819956043474,-523.0451120726227,-0.7705007188672637,1.0,False,False,
460,pair_trading,XLK_top20_cleaned,XLK-AMAT,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,,0.14214655234172935,0.7005304277500676,198.62914056620676,154.6733854188376,91.87777627071274,62.79560914812481,38.0,0.5940115425929184,72.46534599451986,283.20874047740546,-210.74339448288558,115.0,3.9081955187079753,-493.952134960291,-477.795106724102,-1.1037468965628872,1.0,False,False,
461,pair_trading,XLK_top20_cleaned,XLK-ORCL,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.0,0.5,120.0,4.0,0.11882894568938178,0.05799809212512568,213.28375926186595,-361.23695232791033,119.83416077694488,-481.07111310485527,88.0,0.33173284184992863,-370.9724421042286,433.4692267553007,-804.4416688595294,305.0,1.1684674589211481,-1237.9108956148302,-1235.7601421503077,-2.966762208193097,1.0,False,False,
462,pair_trading,XLK_top20_cleaned,XLK-ORCL,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.0,0.5,120.0,,0.11882894568938178,0.05799809212512568,213.28375926186595,-319.6638951019398,119.94388943514416,-439.6077845370839,78.0,0.3752187571789878,-235.5903495005353,449.7601267101034,-685.3504762106384,303.0,1.909077038442449,-1135.1106029207422,-1009.6910227068398,-2.526234647824462,1.0,False,False,
463,pair_trading,XLK_top20_cleaned,XLK-ORCL,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,4.0,0.11882894568938178,0.05799809212512568,213.28375926186595,-32.23860549186528,101.9370291696221,-134.17563466148738,62.0,3.161955289764122,-53.345184256231995,255.62088441138977,-308.9660686676218,179.0,4.79182681577348,-564.5869530790117,-560.5197559235227,-1.3755071263608478,1.0,False,False,
464,pair_trading,XLK_top20_cleaned,XLK-ORCL,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,,0.11882894568938178,0.05799809212512568,213.28375926186595,34.534172625164395,90.48172511904828,-55.94755249388388,58.0,2.620063497716924,-157.0660911589018,256.6726504503211,-413.73874160922264,175.0,1.6341697215260078,-670.4113920595437,-690.9063987726419,-1.8549708953794741,1.0,True,False,
465,pair_trading,XLK_top20_cleaned,XLK-ORCL,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,4.0,0.11882894568938178,0.05799809212512568,213.28375926186595,-51.73032928754477,38.18115896457994,-89.91148825212467,36.0,0.7380807253777313,41.426707717875395,102.29147950501054,-60.86477178713516,95.0,2.469215758144168,-163.15625129214573,-208.2479980166859,-0.35481647929807203,1.0,False,False,
466,pair_trading,XLK_top20_cleaned,XLK-ORCL,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,,0.11882894568938178,0.05799809212512568,213.28375926186595,-85.30914529507545,23.076009514129836,-108.38515480920519,30.0,0.27049866030555486,67.68672882114515,106.38977104593457,-38.70304222478937,95.0,1.5717966121107434,-145.09281327072395,-240.05795935547144,-0.22400162682455324,1.0,False,False,
467,pair_trading,XLK_top20_cleaned,XLK-TXN,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.0,0.5,120.0,4.0,0.12914434767331914,0.2693081721383044,235.64395905028076,-609.2448866585507,148.9804440242416,-758.2253306827924,86.0,0.244532941164818,-793.7482949631933,508.6435934889533,-1302.3918884521465,279.0,0.6408122029572857,-1811.0354819410995,-1952.4819482839287,-4.713918219822624,1.0,False,False,
468,pair_trading,XLK_top20_cleaned,XLK-TXN,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.0,0.5,120.0,,0.12914434767331914,0.2693081721383044,235.64395905028076,-729.459660955859,131.4541726754782,-860.913833631337,86.0,0.1802075970907358,-673.1965574417593,458.05975023840176,-1131.2563076801612,283.0,0.6804249742142067,-1589.3160579185628,-1838.4303583044764,-4.104624460693854,1.0,False,False,
