stock,pair,spread_type,execution_scenario,beta,entry_z,exit_z,sample,gross_bps,cost_bps,net_bps,trades,avg_abs_position
TXN,XLK-TXN,cum_residual_return,half_spread_taker_cost,0.12914434767331914,2.5,0.0,validation,-91.03444376075252,63.89481780709157,-154.92926156784415,12,0.2777307366638442
TXN,XLK-TXN,cum_residual_return,half_spread_taker_cost,0.12914434767331914,2.5,0.0,test,-156.5082193401395,106.17539928977921,-262.68361862991884,36,0.28378294956478795
TXN,XLK-TXN,cum_residual_return,clipped_last_trade_proxy,0.12914434767331914,2.5,0.0,train,178.0438754541373,0.0,178.0438754541373,104,0.1839995451185535
TXN,XLK-TXN,cum_residual_return,clipped_last_trade_proxy,0.12914434767331914,2.5,0.0,validation,-115.2816417787135,0.0,-115.2816417787135,12,0.2777307366638442
TXN,XLK-TXN,cum_residual_return,clipped_last_trade_proxy,0.12914434767331914,2.5,0.0,test,-149.72372758540342,0.0,-149.72372758540342,36,0.28378294956478795
TXN,XLK-TXN,direct_log_price,no_cost_midpoint,0.12914434767331914,1.0,0.5,train,347.2615175046734,0.0,347.2615175046734,408,0.6819810086996076
TXN,XLK-TXN,direct_log_price,no_cost_midpoint,0.12914434767331914,1.0,0.5,validation,559.4239745263963,0.0,559.4239745263963,46,0.6088060965283658
TXN,XLK-TXN,direct_log_price,no_cost_midpoint,0.12914434767331914,1.0,0.5,test,-0.885628368383351,0.0,-0.885628368383351,104,0.6581270448793135
TXN,XLK-TXN,direct_log_price,quarter_spread_cost,0.12914434767331914,1.0,0.5,train,347.2615175046734,939.4263018374018,-592.1647843327283,408,0.6819810086996076
TXN,XLK-TXN,direct_log_price,quarter_spread_cost,0.12914434767331914,1.0,0.5,validation,559.4239745263963,110.92073250169594,448.5032420247003,46,0.6088060965283658
TXN,XLK-TXN,direct_log_price,quarter_spread_cost,0.12914434767331914,1.0,0.5,test,-0.885628368383351,200.48705334013957,-201.37268170852292,104,0.6581270448793135
TXN,XLK-TXN,direct_log_price,half_spread_taker_cost,0.12914434767331914,1.0,0.5,train,347.2615175046734,1878.8526036748035,-1531.5910861701302,408,0.6819810086996076
TXN,XLK-TXN,direct_log_price,half_spread_taker_cost,0.12914434767331914,1.0,0.5,validation,559.4239745263963,221.84146500339187,337.5825095230043,46,0.6088060965283658
TXN,XLK-TXN,direct_log_price,half_spread_taker_cost,0.12914434767331914,1.0,0.5,test,-0.885628368383351,400.97410668027914,-401.85973504866246,104,0.6581270448793135
TXN,XLK-TXN,direct_log_price,clipped_last_trade_proxy,0.12914434767331914,1.0,0.5,train,-36.33958017648986,0.0,-36.33958017648986,408,0.6819810086996076
TXN,XLK-TXN,direct_log_price,clipped_last_trade_proxy,0.12914434767331914,1.0,0.5,validation,531.4199523860897,0.0,531.4199523860897,46,0.6088060965283658
