stock,spread_type,beta,policy,wait_min,latency_min,entry_z,exit_z,min_edge_bps,val_trades,val_gross_bps,val_cost_bps,val_net_bps,test_trades,test_gross_bps,test_cost_bps,test_net_bps,test_avg_net_per_trade_bps
AMD,direct_log_price,1.0530204147931579,maker_skip,2,0,2.0,0.0,25.0,6,-866.1125933723564,-63.205666953167,-802.9069264191894,14,-1228.4812843911338,334.48391757124887,-1562.9652019623827,-111.64037156874163
AMD,direct_log_price,1.0530204147931579,maker_skip,2,0,2.0,0.5,0.0,6,-866.1125933723564,-63.205666953167,-802.9069264191894,14,-1228.4812843911338,334.48391757124887,-1562.9652019623827,-111.64037156874163
AMD,direct_log_price,1.0530204147931579,maker_skip,2,0,2.0,0.5,25.0,6,-866.1125933723564,-63.205666953167,-802.9069264191894,14,-1228.4812843911338,334.48391757124887,-1562.9652019623827,-111.64037156874163
AMD,direct_log_price,1.0530204147931579,maker_remainder,1,0,1.0,0.0,0.0,19,1309.6794614805508,840.7655248047632,468.91393667578757,42,44.66342363677583,1180.140625355386,-1135.47720171861,-27.035171469490717
AMD,direct_log_price,1.0530204147931579,maker_remainder,1,0,1.0,0.0,25.0,19,1309.6794614805508,840.7655248047632,468.91393667578757,42,44.66342363677583,1180.140625355386,-1135.47720171861,-27.035171469490717
AMD,direct_log_price,1.0530204147931579,maker_remainder,1,0,1.0,0.5,0.0,23,1322.2699365230446,963.1408358390922,359.1291006839524,50,269.9418122112462,1421.9300237246416,-1151.9882115133955,-23.03976423026791
AMD,direct_log_price,1.0530204147931579,maker_remainder,1,0,1.0,0.5,25.0,23,1322.2699365230446,963.1408358390922,359.1291006839524,50,269.9418122112462,1421.9300237246416,-1151.9882115133955,-23.03976423026791
AMD,direct_log_price,1.0530204147931579,maker_remainder,1,0,1.5,0.0,0.0,11,362.1021048296101,534.3915920966353,-172.28948726702524,28,-599.7932910950349,796.185604529448,-1395.978895624483,-49.856389129445816
AMD,direct_log_price,1.0530204147931579,maker_remainder,1,0,1.5,0.0,25.0,11,362.1021048296101,534.3915920966353,-172.28948726702524,28,-599.7932910950349,796.185604529448,-1395.978895624483,-49.856389129445816
AMD,direct_log_price,1.0530204147931579,maker_remainder,1,0,1.5,0.5,0.0,12,365.1497324081747,506.93018949798216,-141.78045708980744,29,-236.24337348903987,834.5744767691076,-1070.8178502581475,-36.9247534571775
AMD,direct_log_price,1.0530204147931579,maker_remainder,1,0,1.5,0.5,25.0,12,365.1497324081747,506.93018949798216,-141.78045708980744,29,-236.24337348903987,834.5744767691076,-1070.8178502581475,-36.9247534571775
AMD,direct_log_price,1.0530204147931579,maker_remainder,1,0,2.0,0.0,0.0,6,-679.263349194706,328.1696444125347,-1007.4329936072407,18,-532.3586083191204,481.27230365091305,-1013.6309119700335,-56.31282844277964
AMD,direct_log_price,1.0530204147931579,maker_remainder,1,0,2.0,0.0,25.0,6,-679.263349194706,328.1696444125347,-1007.4329936072407,18,-532.3586083191204,481.27230365091305,-1013.6309119700335,-56.31282844277964
AMD,direct_log_price,1.0530204147931579,maker_remainder,1,0,2.0,0.5,0.0,6,-679.263349194706,328.1696444125347,-1007.4329936072407,18,-505.17434689834045,481.13124251558065,-986.3055894139211,-54.79475496744006
AMD,direct_log_price,1.0530204147931579,maker_remainder,1,0,2.0,0.5,25.0,6,-679.263349194706,328.1696444125347,-1007.4329936072407,18,-505.17434689834045,481.13124251558065,-986.3055894139211,-54.79475496744006
AMD,direct_log_price,1.0530204147931579,maker_remainder,2,0,1.0,0.0,0.0,19,1274.6954474848399,621.748239994975,652.9472074898648,43,-292.52023753693675,1384.8273063293427,-1677.3475438662795,-39.00808241549487
AMD,direct_log_price,1.0530204147931579,maker_remainder,2,0,1.0,0.0,25.0,19,1274.6954474848399,621.748239994975,652.9472074898648,43,-292.52023753693675,1384.8273063293427,-1677.3475438662795,-39.00808241549487
AMD,direct_log_price,1.0530204147931579,maker_remainder,2,0,1.0,0.5,0.0,23,1285.0717729597309,729.0287775915864,556.0429953681445,50,-56.50770954510665,1593.7425501384205,-1650.250259683527,-33.00500519367054
