strategy,candidate_set,spread_fraction,participation_rate,execution_horizon_min,markowitz_gamma,active_signals,gross_leverage,largest_weight,train_gross_bps,train_cost_bps,train_net_bps,train_trades,train_max_drawdown_bps,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_max_drawdown_bps,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_max_drawdown_bps,validation_score
ou_filtered_sf0.25_pr0.010_h5_g0.01,ou_filtered,0.25,0.01,5,0.01,0,5.168900885135114e-14,5.168900885135114e-14,6.144245485149602e-10,6.199539494203807e-10,-5.5294009054207035e-12,414.0,-1.5484559714070766e-10,6.40233566422041e-11,3.150392993927563e-11,3.251942670292847e-11,22.0,-5.676769101377373e-11,2.244744567771174e-11,8.931659750927106e-11,-6.686915183155929e-11,75.0,-1.0048929302604228e-10,1.8208341776854763e-11
core_liquid_pairs_sf0.25_pr0.010_h1_g0.001,core_liquid_pairs,0.25,0.01,1,0.001,0,3.375592458996936e-14,2.7580560980908747e-14,2.182360915927213e-11,6.316154075922989e-11,-4.1337931599957753e-11,508.0,-7.832494167532708e-11,3.725969363716403e-11,6.814522525562994e-12,3.044517111160103e-11,73.0,-2.0667776973833477e-11,-4.079693591238838e-11,1.3890133203740294e-11,-5.468706911612869e-11,122.0,-9.747899215100425e-11,1.5636406690566746e-11
core_liquid_pairs_sf0.35_pr0.005_h15_g0.1,core_liquid_pairs,0.35,0.005,15,0.1,0,9.818838064178242e-14,7.481531498171794e-14,6.067744236368994e-11,2.57573334485137e-10,-1.9689589212144704e-10,668.0,-2.44910227786902e-10,1.0427694533713597e-10,2.7306670897137633e-11,7.697027443999834e-11,89.0,-6.09138605207679e-11,-1.0804435462408909e-10,5.681620265997601e-11,-1.6486055728406503e-10,168.0,-2.819727234832185e-10,1.4198195760626118e-11
core_liquid_pairs_sf0.25_pr0.005_h5_g0,core_liquid_pairs,0.25,0.005,5,0.0,0,6.688538611854256e-13,1.6592283103022964e-13,3.5360149576753933e-10,1.3563922350523775e-09,-1.0027907392848382e-09,1051.0,-1.1780744737518072e-09,4.836738208636837e-10,1.4994800007730878e-10,3.3372582078637495e-10,150.0,-3.099872267750213e-10,-2.1059005104308044e-11,3.2863078814607833e-10,-3.4968979325038627e-10,293.0,-9.743511683243907e-10,1.3533290606295682e-11
core_liquid_pairs_sf0.25_pr0.005_h5_g0.25,core_liquid_pairs,0.25,0.005,5,0.25,0,2.7262183582534493e-14,2.236028744974361e-14,1.762257397249544e-11,5.23167416867994e-11,-3.469416771430396e-11,508.0,-6.373279421547068e-11,3.013035835479334e-11,5.642808373652922e-12,2.448754998114042e-11,73.0,-1.673585940433496e-11,-3.3050105562239116e-11,1.1554153219193781e-11,-4.46042587814329e-11,122.0,-7.90906009862544e-11,1.218469575301479e-11
core_liquid_pairs_sf0.25_pr0.001_h1_g0.1,core_liquid_pairs,0.25,0.001,1,0.1,0,1.6344913727046423e-14,1.3033309458989516e-14,1.0565705141740674e-11,2.0654750785087052e-11,-1.0089045643346378e-11,668.0,-3.477666966185278e-11,1.7890308764969576e-11,2.146066482197829e-12,1.5744242282771746e-11,89.0,-9.760989740788927e-12,-1.935620941321769e-11,4.22408866105479e-12,-2.3580298074272484e-11,168.0,-4.507733912451723e-11,1.1162479599667475e-11
liquid_validation_sf0.35_pr0.001_h1_g0,liquid_validation,0.35,0.001,1,0.0,0,1.330463517135172e-13,1.0859368959614812e-13,1.0293203683954041e-10,3.8256586629682785e-10,-2.796338294572875e-10,674.0,-5.312302004151331e-10,1.53833829715734e-10,3.784678645445991e-11,1.1598704326127413e-10,88.0,-1.687323614086752e-10,-8.648783782751911e-11,7.741213087070882e-11,-1.6389996869822797e-10,177.0,-4.0269162386851286e-10,1.0439774292494215e-11
core_liquid_pairs_sf0.50_pr0.010_h5_g0.001,core_liquid_pairs,0.5,0.01,5,0.001,0,1.416638627890005e-13,1.2249050345645346e-13,8.594350149697165e-11,4.194442414707567e-10,-3.3350073997378497e-10,668.0,-3.961281747288768e-10,1.5635429923512796e-10,4.209563419011553e-11,1.1425866504501244e-10,89.0,-9.306327222366743e-11,-1.7154260606682175e-10,9.031952973404643e-11,-2.618621358008682e-10,168.0,-4.3305637196208463e-10,1.0166043897326936e-11
core_liquid_pairs_sf0.25_pr0.001_h1_g0.05,core_liquid_pairs,0.25,0.001,1,0.05,0,6.539536643960625e-14,4.0871817134115645e-14,3.574959818346467e-11,1.0174491664231417e-10,-6.599531845884951e-11,842.0,-8.17607015102808e-11,4.022420468207587e-11,1.1090930186135036e-11,2.9133274495940844e-11,114.0,-1.9450956391394763e-11,2.7503502354089015e-11,2.5800430348161015e-11,1.7030720059279891e-12,242.0,-5.6574179195120203e-11,8.189707093642762e-12
core_liquid_pairs_sf0.35_pr0.010_h15_g0.01,core_liquid_pairs,0.35,0.01,15,0.01,0,1.0490090652447776e-13,8.747062208368366e-14,6.477957621261095e-11,3.057452100345037e-10,-2.4096563382189276e-10,668.0,-2.865197563724258e-10,1.1490652300070037e-10,3.223370526279538e-11,8.267281773790498e-11,89.0,-6.745740222159021e-11,-1.2465393316825013e-10,6.875251512780476e-11,-1.934064482960549e-10,168.0,-3.185748445775559e-10,7.328243574973973e-12
core_liquid_pairs_sf0.25_pr0.001_h1_g0.25,core_liquid_pairs,0.25,0.001,1,0.25,0,4.194842833960292e-14,2.5872996609478238e-14,2.2842115205626445e-11,6.514313186645251e-11,-4.230101666082607e-11,842.0,-5.258106800734994e-11,2.5787794296974692e-11,7.096344069733184e-12,1.869145022724151e-11,114.0,-1.2596862581641748e-11,1.7589845339202347e-11,1.6499034306840987e-11,1.0908110323613659e-12,242.0,-3.640612577697132e-11,5.242006342219983e-12
core_liquid_pairs_sf0.35_pr0.001_h1_g0.1,core_liquid_pairs,0.35,0.001,1,0.1,0,1.0265659638203513e-14,6.1686567752992656e-15,6.10103750147018e-12,1.5862680964318046e-11,-9.761643462847869e-12,668.0,-2.112596242395789e-11,9.992710221691498e-12,1.6179908873625008e-12,8.374719334328995e-12,89.0,-5.923291899397723e-12,-8.916432264417374e-12,3.127607965046607e-12,-1.2044040229463978e-11,168.0,-2.477486246892907e-11,4.668750544369358e-12
core_liquid_pairs_sf0.25_pr0.001_h5_g0.1,core_liquid_pairs,0.25,0.001,5,0.1,0,7.665975061194609e-14,4.893662043454308e-14,4.2086686793337914e-11,1.359477093938839e-10,-9.386102260054602e-11,842.0,-1.0952419634062551e-10,4.7124856562274554e-11,1.5131409043765783e-11,3.199344751850876e-11,114.0,-2.2881751097577358e-11,3.2293802940378596e-11,3.5201231946312197e-11,-2.907429005933614e-12,242.0,-6.766045004651936e-11,3.1952711966684956e-12
core_liquid_pairs_sf0.25_pr0.001_h5_g0.05,core_liquid_pairs,0.25,0.001,5,0.05,0,4.684858763133546e-15,2.4519885272571355e-15,2.29317417055042e-12,7.397690671085517e-12,-5.104516500535099e-12,554.0,-9.76272748121055e-12,4.114840790527318e-12,7.204490568292657e-13,3.394391733698052e-12,62.0,-2.7900214047210056e-12,-2.9277705395929645e-12,1.612288702959184e-12,-4.540059242552149e-12,145.0,-1.043987606699114e-11,1.5242358747786129e-12
